date,top buy,top sell,kiwi-coin.com (worldwide), kiwi-coin.com (europe),binance.us,coinmarketcap.com
2021-06-12T09:03:08.356Z,49544.05,50677.19,49201.64,49023.94,49280.96,49306.91
2021-06-12T09:03:14.075Z,49544.05,50677.19,49201.64,49023.94,49280.82,49306.91
2021-06-12T09:04:07.407Z,49544.05,50499.62,49029.24,49023.94,49282.11,49279.7
2021-06-12T09:04:13.143Z,49544.05,50499.62,49029.24,49023.94,49282.98,49279.7
2021-06-12T09:04:18.875Z,49544.05,50499.62,49029.24,49023.94,49282.99,49279.7
2021-06-12T09:04:24.625Z,49544.05,50499.62,49029.24,49023.94,49283.8,49279.7
2021-06-12T09:04:30.644Z,49544.05,50499.62,49029.24,49023.94,49284.16,49448.23
2021-06-12T09:04:36.611Z,49544.05,50499.62,49029.24,49023.94,49284.32,49448.23
2021-06-12T09:04:44.490Z,49544.05,50499.62,49029.24,49239.2,49284.33,49448.23
2021-06-12T19:45:10.095Z,49795.23,52500.02,50306.25,50283.62,50151.23,50173.54
2021-06-12T19:45:16.049Z,49795.23,52500.02,50306.25,50283.62,50152.24,50173.54
2021-06-12T19:45:21.775Z,49795.23,52500.02,50306.25,50283.62,50152.24,50173.54
2021-06-12T19:45:27.498Z,49795.23,52500.02,50306.25,50283.62,50152.12,50173.54
2021-06-12T19:45:33.449Z,49795.23,52500.02,50306.25,50283.62,50152.12,50187.16
2021-06-12T19:45:39.214Z,49795.23,52500.02,50306.25,50283.62,50152.12,50187.16
2021-06-12T19:45:48.437Z,49795.23,52500.02,50306.25,50283.62,50152.12,50187.16
2021-06-12T19:45:54.147Z,49795.23,52500.02,50306.25,50283.62,50152.12,50187.16
2021-06-12T19:46:00.091Z,49795.23,52500.02,50306.25,50283.62,50154.23,50187.16
2021-06-12T19:46:05.852Z,49795.23,52500.02,50306.25,50283.62,50166.47,50187.16
2021-06-12T19:46:11.591Z,49795.23,52500.02,50306.25,50283.62,50166.47,50187.16
2021-06-12T19:46:17.308Z,49795.23,52500.02,50306.25,50283.62,50166.47,50187.16
2021-06-12T19:46:26.446Z,49795.23,52500.02,50306.25,50283.62,50166.47,50187.16
2021-06-12T19:46:32.160Z,49795.23,52500.02,50306.25,50283.62,50166.47,50219.08
2021-06-12T19:46:37.924Z,49795.23,52500.02,50306.25,50283.62,50167.19,50219.08
2021-06-12T19:46:43.648Z,49544.05,52500.02,50306.25,50283.62,50168.57,50219.08
2021-06-12T19:46:49.384Z,49544.05,52500.02,50306.25,50283.62,50168.57,50219.08
2021-06-12T19:46:55.097Z,49544.05,52500.02,50306.25,50283.62,50168.68,50219.08
2021-06-12T19:47:04.378Z,49544.05,52500.02,50306.25,50283.62,50169.67,50219.08
2021-06-12T19:47:10.139Z,49544.05,52500.02,50306.25,50283.62,50170.36,50219.08
2021-06-12T19:47:15.862Z,49544.05,52500.02,50306.25,50283.62,50170.38,50219.08
2021-06-12T19:47:21.577Z,49544.05,52500.02,50306.25,50283.62,50170.77,50219.08
2021-06-12T19:47:27.296Z,49544.05,52500.02,50306.25,50283.62,50170.77,50219.08
2021-06-12T19:47:33.049Z,49544.05,52500.02,50306.25,50283.62,50170.8,50221.63
