date,kiwi-coin.com (worldwide), kiwi-coin.com (europe),binance.us
2021-06-12T20:29:27.968Z,50417.9,50448.06,50378.21
2021-06-12T20:29:33.685Z,50417.9,50448.06,50377.34
2021-06-12T20:29:39.409Z,50417.9,50448.06,50377.34
2021-06-12T20:29:45.199Z,50417.9,50448.06,50377.13
2021-06-12T20:29:51.167Z,50417.9,50448.06,50377.06
2021-06-12T20:29:56.889Z,50417.9,50448.06,50377.06
2021-06-12T20:30:02.679Z,50417.9,50448.06,50376.44
2021-06-12T20:30:08.402Z,50417.9,50448.06,50376.33
2021-06-12T20:30:14.130Z,50417.9,50448.06,50376.33
2021-06-12T20:30:19.852Z,50417.9,50448.06,50376.16
2021-06-12T20:30:27.248Z,50417.9,50387.97,50376.18
2021-06-12T20:30:33.193Z,50417.9,50387.97,50376.18
2021-06-12T20:30:38.908Z,50417.9,50387.97,50376.18
2021-06-12T20:30:44.698Z,50417.9,50387.97,50376.18
2021-06-12T20:30:50.421Z,50417.9,50387.97,50376.18
2021-06-12T20:30:56.154Z,50417.9,50387.97,50375.62
2021-06-12T20:31:01.881Z,50417.9,50387.97,50376.71
2021-06-12T20:31:07.610Z,50421.62,50387.97,50377.01
2021-06-12T20:31:13.330Z,50421.62,50387.97,50377
2021-06-12T20:31:19.056Z,50421.62,50387.97,50377
2021-06-12T20:31:24.852Z,50421.62,50387.97,50379.46
2021-06-12T20:31:30.570Z,50421.62,50387.97,50379.46
2021-06-12T20:31:36.518Z,50421.62,50387.97,50379.3
2021-06-12T20:31:42.338Z,50421.62,50387.97,50379.31
2021-06-12T20:31:48.094Z,50421.62,50387.97,50379.31
2021-06-12T20:31:53.815Z,50421.62,50387.97,50379.31
2021-06-12T20:31:59.525Z,50421.62,50387.97,50379.31
2021-06-12T20:32:05.309Z,50421.62,50387.97,50379.31
2021-06-12T20:32:11.029Z,50421.62,50387.97,50379.31
2021-06-12T20:32:16.759Z,50421.62,50387.97,50378.84
2021-06-12T20:32:22.558Z,50421.62,50387.97,50378.84
2021-06-12T20:32:28.282Z,50421.62,50387.97,50378.9
2021-06-12T20:32:34.001Z,50421.62,50387.97,50378.98
2021-06-12T20:32:39.781Z,50421.62,50387.97,50378.65
2021-06-12T20:32:48.447Z,50421.62,50487.72,50387.45
2021-06-12T20:32:54.192Z,50421.62,50487.72,50389.89
2021-06-12T20:32:59.911Z,50421.62,50487.72,50390.4
2021-06-12T20:33:05.634Z,50421.62,50487.72,50390.43
2021-06-12T20:33:11.364Z,50421.62,50487.72,50390.43
2021-06-12T20:33:17.080Z,50421.62,50487.72,50410.56
2021-06-12T20:33:22.869Z,50421.62,50487.72,50441.8
2021-06-12T20:33:28.598Z,50521.42,50487.72,50442.96
2021-06-12T20:33:34.321Z,50521.42,50487.72,50443.19
2021-06-12T20:33:40.119Z,50521.42,50487.72,50528.15
2021-06-12T20:33:45.843Z,50521.42,50487.72,50528.56
2021-06-12T20:33:51.796Z,50521.42,50487.72,50528.56
2021-06-12T20:33:57.525Z,50521.42,50487.72,50534.3
2021-06-12T20:34:03.330Z,50521.42,50487.72,50534.8
2021-06-12T20:34:09.047Z,50521.42,50487.72,50534.81
2021-06-12T20:34:14.767Z,50521.42,50487.72,50536.61
2021-06-12T20:34:20.120Z,50521.42,50487.72,50540.7
2021-06-12T20:34:25.910Z,50521.42,50487.72,50542.26
2021-06-12T20:34:31.638Z,50521.42,50487.72,50549.34
2021-06-12T20:34:37.653Z,50521.42,50487.72,50549.35
2021-06-12T20:34:43.375Z,50521.42,50487.72,50549.91
2021-06-12T20:34:49.327Z,50521.42,50487.72,50551.74
2021-06-12T20:34:55.045Z,50521.42,50487.72,50552.13
2021-06-12T20:35:00.773Z,50521.42,50487.72,50552.13
2021-06-12T20:35:08.624Z,50521.42,50654.26,50553.31
2021-06-12T20:35:14.574Z,50637.27,50654.26,50566.49
2021-06-12T20:35:20.295Z,50637.27,50654.26,50567.04
2021-06-12T20:35:26.094Z,50637.27,50654.26,50567.89
2021-06-12T20:35:31.816Z,50637.27,50654.26,50568.1
2021-06-12T20:35:37.617Z,50637.27,50654.26,50568.19
2021-06-12T20:35:43.341Z,50637.27,50654.26,50568.23
2021-06-12T20:35:49.061Z,50637.27,50654.26,50568.27
2021-06-12T20:35:54.782Z,50637.27,50654.26,50569.19
2021-06-12T20:36:00.496Z,50637.27,50654.26,50569.19
2021-06-12T20:36:06.218Z,50637.27,50654.26,50588.06
2021-06-12T20:36:11.937Z,50637.27,50654.26,50588.24
2021-06-12T20:36:17.665Z,50637.27,50654.26,50588.26
2021-06-12T20:36:23.389Z,50637.27,50654.26,50599.91
2021-06-12T20:36:29.394Z,50637.27,50654.26,50599.94
2021-06-12T20:36:35.190Z,50637.27,50654.26,50600.58
2021-06-12T20:36:40.911Z,50637.27,50654.26,50600.62
2021-06-12T20:36:46.629Z,50637.27,50654.26,50600.63
2021-06-12T20:36:52.352Z,50637.27,50654.26,50600.63
2021-06-12T20:36:58.078Z,50637.27,50654.26,50600.5
2021-06-12T20:37:03.797Z,50637.27,50654.26,50600.5
2021-06-12T20:37:09.512Z,50637.27,50654.26,50600.49
2021-06-12T20:37:15.229Z,50637.27,50654.26,50600.39
2021-06-12T20:37:20.947Z,50637.27,50654.26,50598.23
2021-06-12T20:37:32.884Z,50637.27,50654.26,50597.21
2021-06-12T20:37:39.435Z,50637.27,50654.26,50597.13
2021-06-12T20:37:45.154Z,50637.27,50654.26,50603.3
2021-06-12T20:37:51.099Z,50637.27,50654.26,50603.19
2021-06-12T20:37:56.820Z,50637.27,50654.26,50603.19
2021-06-12T20:38:02.540Z,50637.27,50654.26,50606.03
2021-06-12T20:38:10.431Z,50637.27,50654.26,50594.93
2021-06-12T20:38:16.970Z,50637.27,50654.26,50592.57
2021-06-12T20:38:22.694Z,50637.27,50654.26,50583.33
2021-06-12T20:38:28.715Z,50637.27,50654.26,50582.6
2021-06-12T20:38:34.504Z,50637.27,50654.26,50581.69
2021-06-12T20:38:40.454Z,50637.27,50654.26,50580.12
2021-06-12T20:38:47.487Z,50637.27,50654.26,50579.72
2021-06-12T20:38:54.488Z,50637.27,50654.26,50579.61
2021-06-12T20:39:00.212Z,50637.27,50654.26,50579.67
2021-06-12T20:39:06.183Z,50637.27,50654.26,50579.64
2021-06-12T20:39:11.918Z,50637.27,50654.26,50572.88
2021-06-12T20:39:17.639Z,50637.27,50654.26,50572.56
2021-06-12T20:39:24.865Z,50637.27,50654.26,50568.88
2021-06-12T20:39:31.239Z,50637.27,50654.26,50566.14
2021-06-12T20:39:37.090Z,50637.27,50654.26,50564.97
2021-06-12T20:39:42.809Z,50637.27,50654.26,50563.28
2021-06-12T20:39:48.525Z,50637.27,50654.26,50562.96
2021-06-12T20:39:54.248Z,50637.27,50654.26,50562.96
2021-06-12T20:40:04.158Z,50637.27,50654.26,50562.96
2021-06-12T20:40:10.687Z,50637.27,50654.26,50562.43
2021-06-12T20:40:16.408Z,50637.27,50654.26,50539.99
2021-06-12T20:40:22.135Z,50637.27,50654.26,50538.27
2021-06-12T20:40:27.859Z,50637.27,50654.26,50537.89
2021-06-12T20:40:33.659Z,50637.27,50654.26,50537.89
2021-06-12T20:40:42.355Z,50637.27,50654.26,50537.14
2021-06-12T20:40:53.135Z,50637.27,50654.26,50536.76
2021-06-12T20:40:58.883Z,50637.27,50654.26,50534.65
2021-06-12T20:41:04.609Z,50637.27,50654.26,50534.23
2021-06-12T20:41:10.335Z,50637.27,50654.26,50529.92
2021-06-12T20:41:17.353Z,50637.27,50654.26,50529.92
2021-06-12T20:41:23.073Z,50637.27,50654.26,50525.05
2021-06-12T20:41:30.415Z,50637.27,50654.26,50527
2021-06-12T20:41:36.213Z,50637.27,50654.26,50526.68
2021-06-12T20:41:41.937Z,50637.27,50654.26,50526.68
2021-06-12T20:41:47.657Z,50637.27,50654.26,50526.29
2021-06-12T20:41:56.907Z,50637.27,50654.26,50526.24
2021-06-12T20:42:03.548Z,50637.27,50654.26,50524.69
2021-06-12T20:42:09.291Z,50637.27,50654.26,50524.69
2021-06-12T20:42:15.017Z,50637.27,50654.26,50524.69
2021-06-12T20:42:20.738Z,50637.27,50654.26,50524.24
2021-06-12T20:42:26.465Z,50637.27,50654.26,50524.24
2021-06-12T20:42:34.837Z,50637.27,50654.26,50518.72
2021-06-12T20:42:42.157Z,50637.27,50654.26,50520.21
2021-06-12T20:42:47.878Z,50637.27,50654.26,50521.77
2021-06-12T20:42:53.603Z,50637.27,50654.26,50522.13
2021-06-12T20:42:59.327Z,50637.27,50654.26,50522.36
2021-06-12T20:43:05.052Z,50637.27,50654.26,50522.82
2021-06-12T20:43:13.321Z,50637.27,50654.26,50522.82
2021-06-12T20:43:19.818Z,50637.27,50654.26,50520.03
2021-06-12T20:43:25.547Z,50637.27,50654.26,50521.94
2021-06-12T20:43:31.570Z,50637.27,50654.26,50522.51
2021-06-12T20:43:37.287Z,50637.27,50654.26,50523.33
2021-06-12T20:43:43.241Z,50637.27,50654.26,50523.33
2021-06-12T20:43:51.745Z,50637.27,50654.26,50525.87
2021-06-12T20:44:01.337Z,50637.27,50654.26,50534.71
2021-06-12T20:44:07.055Z,50637.27,50654.26,50535.42
2021-06-12T20:44:12.772Z,50637.27,50654.26,50548.33
2021-06-12T20:44:18.486Z,50637.27,50654.26,50548.66
2021-06-12T20:44:26.334Z,50637.27,50654.26,50548.66
2021-06-12T20:44:34.261Z,50637.27,50654.26,50548.66
2021-06-12T20:44:39.986Z,50637.27,50654.26,50556.37
2021-06-12T20:44:45.705Z,50637.27,50654.26,50556.1
2021-06-12T20:44:51.442Z,50637.27,50654.26,50556.1
2021-06-12T20:45:01.666Z,50637.27,50654.26,50554.38
2021-06-12T20:45:08.711Z,50637.27,50654.26,50553.14
2021-06-12T20:45:14.427Z,50637.27,50654.26,50552.82
2021-06-12T20:45:20.149Z,50637.27,50654.26,50552.83
2021-06-12T20:45:25.870Z,50637.27,50654.26,50552.83
2021-06-12T20:45:31.663Z,50637.27,50654.26,50552.83
2021-06-12T20:45:39.094Z,50637.27,50654.26,50552.83
2021-06-12T20:45:45.620Z,50637.27,50654.26,50554.61
2021-06-12T20:45:51.337Z,50637.27,50654.26,50554.77
2021-06-12T20:45:57.060Z,50637.27,50654.26,50554.12
2021-06-12T20:46:03.006Z,50637.27,50654.26,50554.2
2021-06-12T20:46:08.728Z,50637.27,50654.26,50554.92
2021-06-12T20:46:15.781Z,50637.27,50654.26,50554.95
2021-06-12T20:46:22.859Z,50637.27,50654.26,50555.17
2021-06-12T20:46:28.592Z,50637.27,50654.26,50555.19
2021-06-12T20:46:34.387Z,50637.27,50654.26,50554.81
2021-06-12T20:46:40.108Z,50637.27,50654.26,50554.84
2021-06-12T20:46:45.830Z,50637.27,50654.26,50554.84
2021-06-12T20:46:52.791Z,50637.27,50654.26,50555.59
2021-06-12T20:47:01.260Z,50637.27,50654.26,50555.55
2021-06-12T20:47:06.975Z,50637.27,50654.26,50555.55
2021-06-12T20:47:12.693Z,50637.27,50654.26,50557.65
2021-06-12T20:47:18.413Z,50637.27,50654.26,50557.65
2021-06-12T20:47:25.689Z,50637.27,50654.26,50557.65
2021-06-12T20:47:31.490Z,50637.27,50654.26,50557.65
2021-06-12T20:47:40.609Z,50637.27,50654.26,50557.65
2021-06-12T20:47:46.333Z,50637.27,50654.26,50554.78
2021-06-12T20:47:52.054Z,50637.27,50654.26,50554.87
2021-06-12T20:47:59.098Z,50637.27,50654.26,50557.99
2021-06-12T20:48:04.868Z,50637.27,50654.26,50557.99
2021-06-12T20:48:10.593Z,50637.27,50654.26,50558
2021-06-12T20:48:18.279Z,50637.27,50654.26,50558
2021-06-12T20:48:24.003Z,50637.27,50654.26,50555.96
2021-06-12T20:48:29.794Z,50637.27,50654.26,50555.65
